	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
1	FAM138A	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
2	OR4F5	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
3	AL627309.1	0.0017198537	0.0021150145	0.19570981	0.16281952	0
4	AL627309.3	0.000102335354	-5.005859e-09	-0.14057042	0.4992229	0
5	AL627309.2	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
6	AL627309.5	0.013949176	0.023975369	0.74044	2.5422182	0
7	AL627309.4	0.0012273836	0.0014181928	0.11857914	0.08759946	0
8	AP006222.2	1.0698568e-07	0.0004782863	0.5637713	0.49823755	0
9	AL732372.1	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
10	OR4F29	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
11	AC114498.1	0.0001496931	-5.005859e-09	-0.201256	0.49899375	0
12	OR4F16	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
13	AL669831.2	0.0010919642	0.0018453844	0.44376537	0.3839156	0
14	LINC01409	0.029384423	0.04399302	0.5663692	2.7958317	0
15	FAM87B	0.00061286846	0.00035518687	-0.25113696	0.30943963	0
16	LINC01128	0.06108232	0.08252599	0.4280428	3.1392932	0
17	LINC00115	0.009792227	0.008946256	-0.11776715	0.15687582	0
18	FAM41C	0.007938153	0.0027177273	-1.2655559	4.4037437	0
19	AL645608.6	0.0004226563	0.0018855525	1.0202605	0.9894828	0
20	AL645608.2	0.002391371	0.016973384	2.4059215	6.5221434	1
21	AL645608.4	0.0001780712	0.00072192354	0.54759437	0.5020937	0
22	LINC02593	0.020992894	0.043122668	1.0044825	5.541746	0
23	SAMD11	0.10032005	0.38003585	1.9110069	44.55244	1
24	NOC2L	0.17265601	0.21823733	0.33626112	5.227567	0
25	KLHL17	0.015864315	0.022438582	0.47491163	1.2959869	0
26	PLEKHN1	0.0011576036	0.0029564002	0.87475854	0.9301713	0
27	PERM1	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
28	AL645608.7	0.013512617	0.015839545	0.21454546	0.37877238	0
29	HES4	0.7954776	0.71349883	-0.15670218	5.5729775	0
30	ISG15	0.18942451	0.24701491	0.38120762	7.302493	0
31	AL645608.1	5.7589496e-05	-5.005859e-09	-0.08078694	0.49978063	0
32	AGRN	0.20075051	0.1636535	-0.29313928	4.337977	0
33	AL645608.5	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
34	AL645608.8	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
35	RNF223	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
36	C1orf159	0.024285534	0.024548598	0.014931903	0.026200926	0
37	AL390719.3	0.0005314755	0.0005138824	-0.01666921	0.010878544	0
38	LINC01342	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
39	AL390719.2	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
40	TTLL10-AS1	8.711917e-05	-5.005859e-09	-0.12051733	0.49934247	0
41	TTLL10	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
42	TNFRSF18	0.0035317838	0.0021817507	-0.5102583	0.5960064	0
43	TNFRSF4	0.00341555	0.0033122278	-0.034159802	0.027089562	0
44	SDF4	0.40491456	0.5001281	0.30400336	11.121979	0
45	B3GALT6	0.14361633	0.1645569	0.19509672	1.7874222	0
46	C1QTNF12	0.01430429	0.032963287	1.1500399	5.2162795	0
47	AL162741.1	0.00084442715	0.0015631508	0.47474557	0.39213225	0
48	UBE2J2	0.22242329	0.29357913	0.3988756	9.72099	0
49	LINC01786	0.0010052036	0.00050973403	-0.40945432	0.37768808	0
50	SCNN1D	0.0025293566	0.0017057109	-0.38339743	0.37340853	0
51	ACAP3	0.088759184	0.11385999	0.3557448	3.2153766	0
52	PUSL1	0.075174764	0.10029875	0.4112313	3.6798055	0
53	INTS11	0.15129164	0.1824211	0.26832283	3.1271377	0
54	AL139287.1	0.00047769793	0.0007542565	0.24750832	0.19397078	0
55	CPTP	0.05035748	0.07234648	0.51415336	3.6893976	0
56	TAS1R3	7.835112e-05	0.00047849887	0.45530617	0.38798708	0
57	DVL1	0.050437048	0.062499586	0.30393928	1.5330201	0
58	MXRA8	0.1741311	0.2572243	0.56018937	12.908614	0
59	AURKAIP1	0.7683618	0.79208034	0.043804795	0.86084425	0
60	CCNL2	0.3801406	0.42036408	0.14474411	2.593647	0
61	MRPL20-AS1	0.03095013	0.04272606	0.45267147	1.9929622	0
62	MRPL20	0.731729	0.7664803	0.06685011	1.5372932	0
63	AL391244.2	0.0025612987	0.004664801	0.6696219	0.7754533	0
64	ANKRD65	0.0012825603	0.002980167	0.802176	0.74418336	0
65	AL391244.1	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
66	TMEM88B	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
67	LINC01770	0.0002351834	0.00024672912	0.013422696	0.013654326	0
68	VWA1	0.04797034	0.10942495	1.1730862	17.40374	0
69	ATAD3C	0.0018382134	0.003323113	0.60708755	0.60664177	0
70	ATAD3B	0.03245888	0.04227532	0.3711554	1.562618	0
71	ATAD3A	0.064622395	0.08247316	0.3471242	2.433689	0
72	TMEM240	0.046939205	0.081134036	0.7767743	7.098659	0
73	SSU72	0.5750776	0.6086464	0.08170951	1.5856771	0
74	AL645728.1	0.013549262	0.019501712	0.49479845	1.2330394	0
75	FNDC10	0.042018842	0.05920294	0.4848653	3.0547476	0
76	AL691432.4	0.0016379732	0.0027272734	0.49869072	0.43687817	0
77	AL691432.2	0.03540716	0.033816077	-0.06446857	0.1479446	0
78	MIB2	0.079622656	0.101721205	0.34947684	2.7843673	0
79	MMP23B	0.042828836	0.21894737	2.3272061	44.55244	1
80	CDK11B	0.15702844	0.2038708	0.37453026	5.9002347	0
81	FO704657.1	0.0033824835	0.0030062073	-0.12951156	0.110886805	0
82	SLC35E2B	0.09952511	0.10371914	0.058969248	0.25116694	0
83	CDK11A	0.13626266	0.15299416	0.16593637	1.2806951	0
84	SLC35E2A	0.044264074	0.058165144	0.38638106	2.0236614	0
85	NADK	0.099179134	0.089432344	-0.14767128	0.8384338	0
86	GNB1	0.77149683	0.76390356	-0.014251158	0.1967522	0
87	AL109917.1	0.001582049	0.0017824547	0.107841864	0.07539749	0
88	CALML6	0.00039762317	-5.005859e-09	-0.48298258	1.2209917	0
89	TMEM52	0.0017042522	0.003887583	0.85389155	0.9712774	0
90	CFAP74	0.0019221561	0.0018900511	-0.01593824	0.011644787	0
91	AL391845.2	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
92	GABRD	0.0019271794	0.0017267043	-0.10235291	0.083066285	0
93	AL391845.1	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
94	PRKCZ	0.0032596462	0.007053147	0.918819	1.2480264	0
95	AL590822.2	0.0006141461	0.0010001125	0.30930993	0.21786973	0
96	PRKCZ-AS1	0.004623657	0.008011676	0.6802869	1.0256727	0
97	FAAP20	0.63084185	0.75856805	0.26561576	15.257976	0
98	AL590822.1	8.920347e-05	0.0004196308	0.3822422	0.35533065	0
99	SKI	0.17796607	0.20452341	0.19961664	2.2035766	0
100	AL590822.3	0.005171669	0.007995147	0.5434862	0.7894775	0
101	MORN1	0.010379793	0.017058678	0.6662179	1.7661918	0
102	AL589739.1	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
103	AL513477.2	0.0024972279	0.00083918986	-0.92714137	1.661082	0
104	RER1	0.47216263	0.45285612	-0.06010115	0.8133421	0
105	PEX10	0.061513793	0.068101674	0.14454621	0.5814171	0
106	PLCH2	0.00047599478	0.0009056126	0.3685672	0.27522364	0
107	AL139246.1	0.0002822813	-5.005859e-09	-0.35871997	1.0181181	0
108	AL139246.4	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
109	PANK4	0.03504002	0.015844641	-1.0973101	8.587732	0
110	HES5	0.0076986887	0.009411901	0.25936368	0.3221874	0
111	AL139246.5	0.01453827	0.009010748	-0.63427615	1.7366389	0
112	TNFRSF14-AS1	0.00029402832	0.0006034892	0.30934548	0.20637019	0
113	TNFRSF14	0.008389145	0.0048879175	-0.6732363	1.3258895	0
114	AL139246.3	0.00023115543	-5.005859e-09	-0.3000201	0.7907834	0
115	PRXL2B	0.052780792	0.074306086	0.48567554	3.4732442	0
116	MMEL1	1.0698568e-07	0.0004508854	0.5367793	0.49817234	0
117	AL831784.1	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
118	TTC34	0.0034552002	0.0026499801	-0.28760168	0.2988299	0
119	AC242022.2	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
120	AC242022.1	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
121	AL592464.2	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
122	AL592464.3	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
123	AL592464.1	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
124	AL589702.1	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
125	ACTRT2	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
126	PRDM16-DT	0.001661681	0.0075400667	1.6819097	2.8676515	0
127	PRDM16	0.0031474233	0.020931652	2.4027274	7.7770085	1
128	AL008733.1	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
129	AL590438.1	1.0698568e-07	0.0011406963	1.0979259	0.79906005	0
130	AL354743.2	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
131	AL354743.1	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
132	ARHGEF16	0.01915819	0.01492857	-0.3397493	0.8432393	0
133	AL512413.1	0.00042705797	0.00080413616	0.33826426	0.27050954	0
134	MEGF6	0.018374061	0.034284834	0.86492175	3.697994	0
135	AL513320.1	0.0005474591	0.00042803597	-0.115868986	0.09342377	0
136	TPRG1L	0.08268628	0.11618383	0.48571044	5.2321887	0
137	WRAP73	0.06411428	0.07633148	0.24808188	1.3474705	0
138	TP73	0.0011901978	0.0006190386	-0.4359238	0.4846064	0
139	AL136528.1	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
140	AL136528.2	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
141	CCDC27	0.00040828763	0.00043259328	0.024687048	0.017805686	0
142	SMIM1	0.045114696	0.11719796	1.3579067	20.761955	0
143	LRRC47	0.106814034	0.12998247	0.2808288	2.4469547	0
144	AL365330.1	0.00044153142	0.00080271496	0.32256895	0.25083715	0
145	CEP104	0.09480512	0.1296087	0.44707644	5.071376	0
146	DFFB	0.023982301	0.026250126	0.12535655	0.2684288	0
147	C1orf174	0.14368063	0.13931526	-0.04419988	0.22544219	0
148	LINC01134	0.0010810463	0.0010239169	-0.04015898	0.02878824	0
149	LINC01346	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
150	LINC01345	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
151	LINC02780	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
152	AL805961.1	0.00012708583	0.0006156083	0.51948005	0.5506336	0
153	LINC01777	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
154	AL355602.1	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
155	Z98747.1	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
156	LINC01646	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
157	AJAP1	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
158	Z98886.1	0.00034502626	0.00052299467	0.17927648	0.12433302	0
159	BX005132.1	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
160	LINC02781	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
161	LINC02782	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
162	AL139823.1	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
163	Z98259.3	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
164	Z98259.2	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
165	Z98259.1	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
166	AL365255.1	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
167	NPHP4	0.016492862	0.01837685	0.14756766	0.26961482	0
168	KCNAB2	0.008678094	0.010889026	0.2968357	0.47153372	0
169	CHD5	0.0011520415	0.0018872042	0.42396724	0.32135674	0
170	RPL22	2.482559	2.4437788	-0.022705052	2.7189696	0
171	AL031847.1	0.0011161211	0.0013239739	0.13517162	0.09851057	0
172	RNF207	0.011716892	0.016882688	0.49181747	1.0958256	0
173	ICMT	0.107410096	0.12204457	0.18268183	1.2840614	0
174	LINC00337	0.0008247625	-5.005859e-09	-0.86771584	2.290837	0
175	HES3	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
176	GPR153	0.08332182	0.08287536	-0.007658817	0.023967728	0
177	ACOT7	0.044773765	0.042707447	-0.06664188	0.19428208	0
178	AL031848.2	0.0035409117	0.004625168	0.30891418	0.30472675	0
179	HES2	0.0005192277	0.0015319238	0.7368958	0.6648284	0
180	ESPN	0.00029217114	0.0023973747	1.394623	1.5140799	0
181	AL031848.1	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
182	TNFRSF25	0.023148453	0.032320723	0.46448892	1.6616093	0
183	PLEKHG5	0.03358481	0.040080085	0.24830067	0.8272699	0
184	NOL9	0.10375871	0.118188046	0.18616942	1.2378448	0
185	TAS1R1	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
186	ZBTB48	0.035397973	0.05751192	0.6848724	4.5242066	0
187	KLHL21	0.021873252	0.021392902	-0.030619979	0.05201579	0
188	PHF13	0.09198005	0.13631442	0.56249005	7.375158	0
189	THAP3	0.07555025	0.1361201	0.84096104	13.475717	0
190	DNAJC11	0.08738082	0.09212431	0.075424634	0.31731504	0
191	LINC01672	0.000117743504	-5.005859e-09	-0.16059637	0.49912128	0
192	AL591163.1	0.00058313855	0.00045640476	-0.12037617	0.093380146	0
193	CAMTA1-DT	0.000100200996	-5.005859e-09	-0.13777432	0.49956745	0
194	CAMTA1	0.5974987	0.61402345	0.039293256	0.56658804	0
195	AL512330.1	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
196	CAMTA1-IT1	0.0005622546	0.0010397729	0.38477904	0.31953663	0
197	Z97987.1	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
198	AL365194.1	1.0698568e-07	-5.005859e-09	-0.00016158675	44.55244	0
199	AL359881.3	0.0003100091	-5.005859e-09	-0.38958406	0.942746	0
